el,en
absorbent,απορροφητικός
absorber,απορροφητικό μέσο
absorption,απορρόφηση
absorptive,απορροφητικός
abstain,απέχω
abstemious,λιτός
abstention,αποχή
abstinence,εγκράτεια
abstract,αφαιρώ
abstract art,αφηρημένη τέχνη
abstracted,αφηρημένος
abstract thinking,αφηρημένη σκέψη
abstruse,δυσννόητος
absurd,παράλογος
absurdities,γελοιότητες
absurdity,γελοιότητα
absurdly,παράλογα
a bunch of keys,μάτσο κλειδιών
abundance,αφθονία
abundant,άφθονος
abundantly,άφθονα
abuse,κατάχρηση
abusive,υβριστικός
abut,συνορεύω
abutment,βάθρο
abutting,εφαπτόμενος
abysmal,φοβερός
abyss,άβυσσος
acacia,ακακία
academe,ακαδημία
academia,ακαδημαϊκός κόσμος
academic,ακαδημαϊκός
academic achievement,σχολική επίδοση
academician,ακαδημαϊκός
academy,ακαδημία
a calculated insult,εσκεμμένη προσβολή
acanthus,άκανθος
a case of mistaken identity,υπόθεση λανθασμένης ταυτότητας
accede,συγκατατίθεμαι
accelerate,επιταχύνω
accelerating,που επιταχύνει
acceleration,επιτάχυνση
accelerator,γκάζι
accelerometer,επιταχύμετρο
accent,τόνος
accentual,τονικός
accentuate,δίνω έμφαση
accept,αποδέχομαι
acceptable,αποδεκτός
acceptance,αποδοχή
acceptant,δεκτικός
accepting house,τράπεζα εγγυήσεως
acceptor,αποδέκτης
accesory,σύνεργος
access,προσπέλαση
accessible,ευπρόσιτος
accession,άνοδος
access logging,ημερολόγιο χρήσης
accessory,συνεργός
access road,οδός προσπέλασης
access time,χρόνος πρόσβασης
accident,ατύχημα
accidental,τυχαίος
accipiter,γεράκι
acclaim,επευφημώ
acclamation,επευφημία
acclimate,εγκλιματίζομαι
acclimatize,εγκλιματίζομαι
accolade,επικρότηση
accommodate,εξυπηρετώ
accommodating,που στεγάζεται
accommodation,στέγαση
accomodation,κατάλυμα
accompanied by,συνοδευόμενος από
accompaniment,συνοδεία
accompany,ακολουθώ
accompanying,που συνοδεύει
accomplice,σύνεργος
accomplish,πληρώ
accomplishment,διενέργεια
accord,συμφωνία
accordant,σύμφωνος
accordingly,ανάλογα
according to,σύμφωνα με
according to rumours,σύμφωνα με φήμη
accordion,ακορτεόν
accost,πλησιάζω
account,αναφορά
accountable,δωσίλογος
accountancy,λογιστική
accountant,λογιστής
account for,εξηγώ
accoustic distortion,ηχητική παραμόρφωση
accouter,ντύνω
accoutre,ντύνω
accredit,εξουσιοδοτώ
accredited,διαπιστευμένος
accretion,προσαύξηση
accrual,επαύξηση
accrue,προκύπτω
acculturate,προσαρμόζω
accumulate,συσσωρεύομαι
accumulation,συσσώρευση
accuracy,ορθότητα
accurate,ακριβής
accurate in,ακριβής
accurately,ακριβέστατα
accusation,κατηγορία
accusative,αιτιατική
accusatory,κατηγορητικός
accuse,κατηγορώ
accused,υπόδικος
accustom,εξοικειώνομαι
accustomed to,συνηθισμένος σε
ace,άσος
acerbic,στυφός
acerbity,δριμύτητα
acetate,οξικό άλας
acetic,οξικός
acetone,ακετόνη
acetylene,ακετυλένιο
ache,πονώ
achievable,που μπορεί να κατορθωθεί
achieve,κατορθώνω
achievement,επίτευξη
a child as good as gold,παιδί μάλαμα
aching,που πονεί
achromatic,αχρωματικός
acid,οξύς
acidic,όξινος
acidify,οξινίζω
acid rain,όξινη βροχή
acidulate,ξινίζω
acidulous,υπόξινος
acknowledge,αναγνωρίζω
acknowledgeable,αναγνωρισμένος
acknowledgement,αναγνώριση
a claim for,αίτηση
acme,ακμή
acolyte,βοηθός ιερέως
acorn,βελανίδι
acorn bar,αντιδονητική ράβδος
acoterion,ακρωτήριο στεγής
a couple,κάνα δυο-τρια
a couple of,δύο-τρία
acoustic,ηχητικός
acoustic guitar,ακουστική κιθάρα
acoustics,ακουστική
acquaint,γνωρίζω
acquaintance,γνωριμία
acquainted with,γνωστός
acquiesce,συναινώ
acquiescence,συναίνιση
acquiescent,συγκαταβατικός
acquire,αποκώ
acquired,κεκτημένο
acquired characteristics,επίκτητα χαρακτηριστηκά
acquired disease,επίκτητη αρρώστια
acquired rights,κετημένα δικαιώματα
acquisition,απόκτημα
acquisitive,κτητικός
acquistion of land,απαλλοτρίωση γης
acquit,αθωώνω
acquittal,αθώωση
acre,ακρ
acreage,εμβαδό σε ακρ
acrid,πικρός
acrimonious,πικρός
acrimony,δριμύτητα
acrobat,ακροβάτης
acrobatic,ακροβατικός
acrobatics,ταυροκαθάψια
acronym,ακρώνυμο
across,κατά πλάτος
acrostic,ακροστοιχίδα
acrylic,ακρυλικός
act,πράξη
act accordingly,ενεργώ ανάλογα
act affectedly,ακκίζομαι
acting,αναπληρωματικός
actinic,ακτινικός
actinium,ακτίνιο
action,δράση
actionable,ενακτέος
action pending in other court,εκκρεμοδικία
activate,ενεργοποιώ
activated sludge,ενεργός ιλύς
activation,ενεργοποίηση
active,ακμαίος
actively,ενεργά
active volcano,ηφαίστειο εν ενέργεια
activism,ακτιβισμός
activist,ακτιβιστής
activity,δραστηριότητα
act of God,Θεομηνία
act of parliament,νομοσχέδιο
act of violence,πράξη βίας
actor,ο ηθοποιός
actress,η ηθοποιός
acts,πράξεις
actual,πραγματικός
actually,πραγματικά
actuate,παρακινώ
actuated by,κινούμενος από
act up,ενοχλώ
acuity,οξυδέρκεια
acumen,διορατικότητα
acupuncture,βελονισμός
acute,οξυδερκής
AD,μετά Χριστόν
ad,διαφήμηση
adage,ρητό
adagio,αντάτζιο
adamant,άκαμπτος
adamant plaster,επίχρισμα ταχείας πήξεως
adapt,διασκευάζω
adaptability,ευστροφία
adaptable,ευπροσάρμοστος
adaptation,διασκευή
adaptations of emoluments,αναπροσαρμογές του καθεστώτος
adaptive,προσαρμοστικός
a dash of,λίγο
add,προσθέτω
added,επιπρόσθετος
addend,προσθετέος
addenda,συμπληρώματα
addendum,παράτμημα βιβλίου
adder,οχιά
addict,ναρκομανής
addicted,εξαρτημένος
addiction,εθισμός
addictive,εθιστικός
add insult to injury,ύβρις καί ζημιά
addition,πρόσθηκη
additional,πρόσθετος
additive,πρόσθετη ουσία
additives,πρόσθετες ουσίες
addle,κλουβιάζω
addled,κλούβιος
address,διεύθυνση
addressee,παραλήπτης
add to,προσθέτω
adductor,προσαγωγός
add up,βγάζω νόημα
adenine,αδενίνη
adenoma,αδένωμα
adept,επιτήδειος
adequacy,επάρκεια
adequate,επαρκής
adhere,εμμένω
adherence,εμμονή
adherent,οπαδός
adhere to,εμμένω
adhesion,προσκόλληση
adhesive,κολλώδης
adiabatic,αδιαβατικός
adieu,αντίο
a diner,κάποιος που δειπνεί
adipose tissue,λιπώδης ιστός
adjacent,κοντινός
adjectival,επιθετικός
adjective,επίθετο
adjoin,εφάπτομαι
adjoining,διπλανός
adjourn,αναστέλλω
adjudge,αποφαίνομαι
adjudicate,επιδικάζω
adjunct,συμπλήρωμα
adjust,ρυθμίζω
adjustable,αυτό που ρυθμίζεται
adjustment,ρύθμιση
adjust to,προσαρμόζομαι
adjutant,υπασπιστής
administer,χορηγώ
administer an oath,επάγω όρκο
administrate,διοικώ
administration,διοικητικός
administrative,διαχειριστικός
admirable,θαυμαστός
admiral,ναύαρχος
admiralty,ναυαρχείο
admiration,θαυμασμός
admire,θαυμάζω
admirer,θαυμαστής
admiring,που θαυμάζει
admissible,επιτρεπτός
admission,παραδοχή
admission to,εισαγωγή
admit,αφήνω να μπεί
admittance,είσοδος
admittedly,ομολογουμένως
admitting,το να παραδέχεται κανείς
admix,ανακατεύω
admixture,πρόσμειξη
admonish,νουθετώ
admonition,παραίνεση
admonitory,παραινετικός
ado,ντόρος
adobe,πλίνθος
adolescence,εφηβεία
adolescent,έφηβος
adopt,αποδέχομαι
adopted,υιοθετημένος
adoption,υιοθεσία
adoptive,θετός
adorable,αξιολάτρευτος
adoration,λατρεία
adore,λατρεύω
adoring,που λατρεύει
adorn,κοσμώ
adrenal,επινεφριδικός
adrenaline,αδρεναλίνη
adrift,εκυβέρνητος
adroit,επιδέξιος
adsorb,προσροφώ
adsorbate,προσροφημένη ουσία
adsorption,προσρόφηση
adsorptive,προσροφητικός
adulate,κολακεύω
adult,ενήλικος
adulterate,νοθεύω
adulterer,μοιχός
adulterous,μοιχικός
adultery,μοιχεία
adulthood,ενηλικότητα
adults,ενήλικοι
advance,πρόοδος
advanced,προχωρημένος
advanced bookings,κρατήσεις εκ των πρότερων
advancement,ανάδειξη
advancing,προοδευτικός
advantage,πλεονέκτημα
advantageous,πλεονεκτικός
advent,ερχομός
adventitious,παρείσακτος
adventure,περιπέτεια
adventurous,περιπετιώδης
adverb,επίρρημα
adverbial,επιρρηματικός
adversary,αντίπαλος
adverse,δυσμενής
adversely,δυσμενώς
advert,διαφήμιση
advertise,διαφημίζω
advertisement,διαφήμιση
advertisements,διαφημήσεις
advertising,διαφημιστικός
advertising campaign,διαφημιστική εκστρατεία
adverts,διαφημίσεις
advice,συμβουλή
advisability,ορθότητα
advisable,συνετός
advise,συνιστώ
advising,το να συμβουλεύει κανείς
advisor,σύμβουλος
advisory,συμβουλευτικός
advocacy,υπεράσπιση
advocate,συνήγορος
adytum,άδυτο
aedicule,πύλη
aegis,αιγίδα
aeolian,αιολικός
aerate,αερίζω
aerial,κεραία
aerie,αετοφωλιά
aerobic,αεροβικός
aerobics,αεροβική
aerodynamic,αεροδυναμικός
aerofoil,αεροτομή
aeronaut,αεροναύτης
aeronautic,αεροναυτικός
aeroplane,αεροπλάνο
aerosol,σπρέι
aerosol spray,αεροζόλ
aerospace,διάστημα
aesthete,αισθητιστής
aesthetic,αισθητικός
afar,μακριά
a fee,δίδακτρα
a few,μερικοί
affability,προσήνεια
affable,προσηνής
affair,δεσμός
affairs,υποθέσεις
affect,συγκινώ
affectation,επιτήδευση
affected,επιτηδευμένος
affection,στοργή
affectionate,στοργικός
affectionately,στοργικά
affection for,στοργή
afferent,κεντρομόλος
affiance,υπόσχεση γάμου
affidavit,ένορκη κατάθεση
affiliate,προσκτώμαι
affinity,αγχιστεία
affirm,βεβαιώνω
affirmation,διαβεβαίωση
affirmative,καταφατικός
affix,προσθέτω
afflict,βασανίζω
afflicted,βασανιζόμενος
affliction,βάσανο
affluence,αφθονία
affluent,εύπορος
affluent society,κοινωνία της αφθονίας
afford,διαθέτω χρήματα
afforest,αναδασώνω
afforestation,αναδάσωση
affray,συμπλοκή
affront,προσβολή
Afghanistan,Αφγανιστάν
aficionado,οπαδός
afield,μακριά
a fine figure of a man,άνδρας που φαίνεται ωραίος
afire,φλεγόμενος
a fit of coughing,σπασμός βήχα
a five door car,πεντάπορτο αυτοκίνητο
aflame,φλεγόμενος
a flight of stairs,σκάλα
afloat,επιπλέων
afoot,στα σκαριά
a foregone conclusion,προκαθορισμένο αποτέλεσμα
aforementioned,προειρημένος
aforesaid,προλεχθείς
aforethought,προμελετημένος
a fork,διακλάδωση
afraid,φοβισμένος
afreet,αφρίτ
afresh,ξανά
Africa,Αφρική
African,Αφρικανός
afro,αφρό χτένισμα
aft,της πρύμνης
after,μετά από
afterbirth,πλακούντας
after cataract,δευτεροπαθής καταρράκτης
aftereffect,επακόλουθο
afterglow,μεταλαμπή
afterimage,μετείκασμα
afterlife,ζωή μετά θάνατον
aftermath,επακόλουθο
after my own heart,σύμφωνα με την επιθυμία μου
afternoon,απόγευμα
aftersensation,μεταίσθηση
aftershock,μετασεισμός
after the event,εκ των υστέρων
afterthought,μεταγενέστερη σκέψη
afterward,έπειτα
afterwards,εκ των υστέρων
afterword,επίλογος
again,πάλι
again and again,επαναλειμμένες φορές
against,εναντίον
agar,άγαρ
age,περιόδος
aged,ηλικιωμένος
ageing,γήρανση
agencies,πρακτορεία
agency,υπηρεσία
agenda,ημερίσια διάταξη
agent,μεσίτης
age of majority,ηλικία ενηλικίωσης
ages,ηλικίες
aggravate,επιδεινώνω
aggravating,εξοργιστικός
aggregate,συσσωμάτωμα
aggression,επιθετικότητα
aggressive,επιθετικός
aggressively,επιθετικά
aggrieved,αδικηθείς
agift that is no gift,δώρον άδωρον
agile,εύστροφος
agility,ευστροφία
agitated,ανασταωμένος
agitatedly,αναστατωμένα
agnostic,αγνωστικιστικός
ago,πριν
agonising,σπαρακτικός
agony,αγωνία
a good deal of,πολύς
a great deal of,πολύς
a great many,πάμπολλοι
agree,συμφωνώ
agreeable,ευάρεστος
agreement,συμφωνία
agree on,συμφωνώ για
agree to,συμφωνώ
agree with,συμφωνώ με
agricultural,γεωργικος
agriculturally,αγροτικά
agriculture,γεωργία
a gust of wind,ριπή ανέμου
a hard worker,σκληρός εργάτης
ahead of,μπροστά από
a hell of a lot of,πάρα πολύ
aicraft,αεροσκάφος
aid,βοήθημα
aigrette,λοφίο
ailment,ασθένεια
aim,βλέψη
aiming,το να σημαδεύει κανείς
aimless,άσκοπος
aimlessly,άσκοπα
aim to,αποβλέπω
air,αέρας
air attack,αεροπορική επιδρομή
airbase,αεροπορική βάση
airbed,στρώμα θάλασσας
airborne,αερομεταφερόμενος
airborne troops,αεράγημα
air condition,κλιματίζω
aircraft,αεροσκάφος
aircraft carrier,αεροπλανοφόρο
airfares,εισιτήρια αεροπορικά
airforce,πολεμική αεροπορία
air hostess,αεροσυνοδός
airlift,μεταφέρω δι'αερός
airline,αεροπορική εταιρία
airliner,αεροπλάνο της γραμμής
airmail,αεροπορικό ταχυδρομείο
air navigation,αεροπλοΐα
airport,αεροδρόμιο
airscrew,έλικας
air sickness,ναυτιά
airtight,αρραγής
airway,αναπνευστική οδός
airy,άυλος
aisle,διάδρομος
ajar,μισάνοικτος
ajudicate,αποφαίνομαι
akin,συγγενικός
alabaster,αλάβαστρο
alacrity,προθυμία
alarm,συναγερμός
alarm clock,ξυπνητήρι
alarming,ανησυχητικός
alarmingly,ανησυχητικά
alb,άλμπα
albatross,άλμπατρος
albeit,έστω
albinism,λευκοπάθεια
albino,λευκοπαθής
album,δίσκος μεγάλης διάρκειας
albumin,λευκωματίνη
alchemist,αλχημιστής
alchemy,αλχημεία
alcohol,αλκοόλ
alcoholic,αλκοολικός
alcoholism,αλκοολισμός
alcove,σηκός
alder,κλήθρα
alderman,δημοτικός σύμβουλος
aldermen,δημοτικοί σύμβουλοι
ale,μπύρα
alert,άγρυπνος
alertness,επαγρύπνηση
alfalfa,αλφάλφα
alfresco,υπαίθριος
algae,άλγη
algebra,άλγεβρα
algebraic,αλγεβρικός
algorithm,αλγόριθμος
algorithmic,αλγοριθμικός
alias,ψευδώνυμο
alibi,άλλοθι
alien,αλλοδαπός
alienate,αλλοτριώνω
alienation,αποξένωση
alight,κατεβαίνω
a light shower,βροχούλα
align,ευθυγραμμίζω
alike,όμοιος
alimentary,τροφικός
alimony,διατροφή
aliphatic,αλειφατικός
a little rain,βροχούλα
alive,ζωτανός
a live broadcast,ζωντανή μετάδωση
alizarin,αλιζαρίνη
alkali,άλκαλι
alkaline,αλκαλικός
alkaloid,αλκαλοειδής
all,όλες
all aboard,όλοι στο πλοίο
all airs and graces,όλο ύφος και καμώματα
all and sundry,όλοι
all around the world,σε όλο τον κόσμο
allay,ανακουφίζω
all but,σχεδόν
allegation,κατηγορία
allege,ισχυρίζομαι
alleged,φερόμενος
allegedly,φερόμενος
allegiance,υπακοή
allegoric,αλληγορικός
allegory,αλληγορία
allegro,αλέγκρο
allergen,ουσία που προκαλεί αλλεργία
allergic,αλλεργικός
allergic to,αλλεργικός σε
allergy,αλλεργία
alleviate,ανακουφίζω
alley,πάροδος
alleyway,αλέα
alliance,συνασπισμός
allied,σύμμαχος
Allied Headquarters,Συμμαχικό Επιτελείο
alligator,αλιγάτορας
all in all,στην τελική ανάλυση
alliterate,παρηχώ
all-knowing,παντογνώστης
allocate,κατανέμω
allocation,κατανομή
all of a sudden,ξαφνικά
allot,διανέμω
allotment,κλήρος
allotropic,αλλοτροπικός
all over the world,παγκοσμίως
allow,επιτρέπω
allowance,επίδομα
allowances,επιδόματα
alloy,κράμα
all powerful,παντοκράτορας
all-round,ολόκληρος
all seater,στάδιο με καθίσματα
all set to go,πανέτοιμος
all-subduing,πανδαμάτωρ
all the time,όλη την ώρα
all things considered,λαμβάνοντας όλα αυτά υπ' όψιν
all together,σύσσωμος
allude,υπαινίσσομαι
allude to,υπαινίσσομαι
allure,δελεάζω
alluring,σαγηνευτικός
allusion,νύξη
allusive,υπαινισσόμενος
alluvial,προσχωματικός
alluvium,πρόσχωση
all weather,παντός καιρού
ally,σύμμαχος
almanac,καζαμίας
Almighty,Παντοκράτορας
almighty,παντοδύναμος
almond,αμύγδαλο
almond grove,αμυγδαλεώνας
almost,σχεδόν
aloft,ψηλά στον αέρα
alone,μοναχός
along,κατά μήκος
a long shot,απίθανη εκδοχή
alongside,δίπλα
a long time,πολύς καιρός
aloof,ακατάδεχτος
alopecia,αλωπεκία
alopecia areata,γυροειδής αλωπεκία
a lot of,πολύς
aloud,φωναχτά
alpaca,αλπακάς
alpenstock,ορειβατικό μπαστούνι
alpha,άλφα
alphabet,αλφάβητο
alphabetic,αλφαβητικός
alphameric,αλφαριθμητικός
alpine,αλπικός
already,κιόλας
alright,εντάξει
also,επίσης
altar,βωμός
alter,αλλάζω
alteration,τροποποίηση
altercate,λογομαχώ
altercation,λογομαχία
alternate,εναλλάσσω
alternating current,εναλλασσόμενο ρεύμα
alternation,εναλλαγή
alternative,μιά διαζευκτική επιλογή
alternatively,εκ περιτροπής
alternative medicine,ομοιπαθητικό φάρμακο
although,αν και
altimeter,υψομέτρης
altitude,υψόμετρο
alto,άλτο
altogether,εντελώς
altruism,αλτρουισμός
altruist,αλτρουιστής
alumina,αλουμίνα
aluminate,αργιλικό άλας
aluminium,αλουμίνιο
aluminium foil,αλουμινόχαρτο
alveolar,κυψελιδικός
alveoli,πνευμονικές κυψελίδες
alveolus,πνευμονική κυψελίδα
always,πάντα
am,είμαι
amalgam,μίγμα
amalgamate,ενώνω
amalgamation,ένωση
a man of the world,ένας άνθρωπος του κόσμου
amanuensis,γραμματέας
amaranth,αμάραντος
amass,αποθησαυρίζω
amateur,ερασιτέχνης
amateur dramatics,ερασιτεχνικό θέατρο
amateurish,ερασιτεχνικός
amateurism,εραστεχνισμός
amatory,ερωτικός
amaze,εκπλήσσω
amazed at,έκπληκτος
amazement,έκληξη
amazing,εκπληκτικός
amazingly,εκπληκτικά
ambassador,πρεσβευτής
amber,κεχριμπάρι
ambiance,ατμόσφαιρα
ambidextrous,αμφιδέξιος
ambient,περιβάλλων
ambiguity,κάτι το διφορούμενο
ambiguous,διφορούμενος
ambition,βλέψη
ambitious,φιλόδοξος
ambivalent,ταλαντευόμενος
amble,σουλατσάρω
ambrosia,αμβροσία
ambulance,νοσοκομειακό
ambulant,περιπατητικός
ambulate,περιφέρομαι
ambulatory,περιπατητικός
ambuscade,στήνω ένεδρα
ambush,στήνω ενέδρα
ameliorate,βελτιώνω
amen,αμήν
amend,τροποποιώ
amendment,τροπολογία
amenities,ανέσεις
America,Αμερική
American,Αμερικάνος
American bittern,αμερικανική τρανομουγκάνα
American wigeon,αμερικανικό σφυριχτάρι
americium,αμερίκιο
amethyst,αμέθυστος
amiable,φιλόφρων
amicable,φιλικός
amid,μεταξύ
amidst,ανάμεσα
amiss,στραβά
amity,φιλία
ammeter,αμπεριόμετρο
ammo,πυρομαχικά
ammonia,αμμωνία
ammoniac,αμμωνιακός
ammonium,αμμώνιο
ammunition,πυρομαχικά
amnesia,αμνησία
amnesiac,αμνησιακός
amnesty,αμνηστία
amniocentesis,αμνιοκέντηση
amoeba,αμοιβάδα
amoeboid,αμοιβαδοειδής
amok,αμόκ
among,ανάμεσα
among other things,μεταξύ άλλων
amongst,ανάμεσα σε
amoral,αήθης
amorous,ερωτικός
amorphous,άμορφος
amortised loan,απεσβεσμένο δάνειο
amount,ποσόν
amount carried forward,ποσό εις μεταφοράν
amount to,ανέρχομαι
amp,ενισχυτής
amperage,ενταση ρεύματος
ampere,αμπέρ
ampersand,το σύμβολο &
amphetamine,αμφεταμίνη
amphibian,αμφίβιο
amphibious,αμφίβιος
amphibology,αμφισημία
amphictyony,αμφικτυονία
amphitheatre,αμφιθέατρο
ample,άφθονος
amplification,ενίσχυση
amplifier,ενισχυτής
amplify,ενισχύω
amplitude,πλάτος
amply,ικανοποιητικά
amputate,ξεκόβω
amputation,αποκοπή
amputee,ακρωτηριασμένος
amulet,φυλαχτό
amuse,διασκεδάζω
a must,κάτι το απόλυτα αναγκαίο
amygdaloid,αμυγδαλοειδής
an,ένας
anachronism,αναχρονισμός
anachronistic,αναχρονιστικός
anaemia,αναιμία
anaemic,αναιμικός
anaerobic,αναερόβιος
anaesthetic,αναισθητικό
anaesthetist,αναισθησιολόγος
anaesthetize,αναισθητοποιώ
anagogical,αναγωγικός
anagram,ανάγραμμα
anal,πρωκτικός
analgesic,αναλγητικός
anal intercourse,πρωκτική συνουσία
analog,αναλογικός
analogous,ανάλογος
analogue,ανάλογο
analogy,αναλογία
analyse,αναλύω
analyses,αναλύσεις
analysis,ανάλυση
analyst,αναλυτής
analytic,αναλυτικός
anamorphic,αναμορφικό
an animal's coat,τρίχωμα
anarch,αναρχικός
anarchic,αναρχικός
anarchy,αναρχία
anastigmatic,αναστιγματικός
anathema,κατάρα
anatomist,ανατόμος
anatomy,ανατομία
ancestor,πρόγονος
ancestral,προγονικός
ancestry,καταγωγή
anchor,άγκυρα
anchorage,αγκυροβολία
anchorite,ασκητής
anchoritism,ασκητισμός
anchovy,αντσούγια
ancient,αχάιος
Ancient Greek,Αρχαία
ancillary,βοηθητικός
and,και
Andalusian hemipode,ψευτόρτυγας
andesine,ανδεσίνης
andesite,ανδεσίτης
andiron,πυροστιά
Andora,Ανδώρα
androgen,ανδρογόνο
and so it was done,και έτσι έγινε
anecdote,ανέκδοτο
anemone,ανεμώνη
anent,περί
anew,πάλι
angel,άγγελος
angelfish,ρίνη
angelic,αγγελικός
anger,οργή
angiogram,αγγειογραφία
angiosperm,ανθόφυτο
angle,γωνία
anglicise,εξαγγλίζω
angling,ψάρεμα
angrily,θυμωμένα
angry,θυμωμένος
angst,άγχος
angstrom,άγκστρομ
anguish,αγωνιώ
angular,γωνιακός
anharmonic,οχι αρμονικός
anhydrite,ανυδρίτης
anhydrous,άνυδρος
aniline,ανιλίνη
animadversion,παρατήρηση
animadvert,μέμφομαι
animal,ζώο
animal's foodbag,ταγάρι
animal feed,ζωοτροφή
animal loving,φιλόζωος
animate,εμψυχώνω
animated,ζωντανός
animism,ανιμισμός
animist,ανιμιστικός
animosity,εχθρότητα
anion,ανιόν
anise,γλυκάνισο
anisotropic,ανισοτροπικός
anisotropy,ανισοτροπία
ankle,αστράγαλος
annal,χρονικό
annals,χρονικά
anneal,ανοπτώ
annex,προσαρτώ έδαφος
annihilate,καταστρέφω
anniversary,επέτειος
annotate,σχολιάζω
annotation,υποσημείωση
announce,ανακοινώνω
announcement,ανακοίνωση
announcer,αυτός πού ανακοινώνει
annoy,ενοχλώ
annoyance,ενόχληση
annoyed about,ενοχλημένος για
annual,ετήσιος
annually,ετήσια
annual percentage rate,ετήσιο
annuity,πρόσοδος
annul,ανακαλώ
annular,δακτυλοειδής
annulment,ακύρωση
annulus,δακτύλιος
annum,έτος
annunciate,ευαγγελίζομαι
anode,ανόδιο
anodic,ανοδικός
anoint,χρίω
anomalous,ανώμαλος
anomaly,ανωμαλία
anomie,ανομία
anonymity,ανωνυμότητα
anonymous,ανώνυμος
anorak,ανοράκ
anorexia,ανορεξία
another,άλλος ένας
another side to the coin,άλλη όψη του νομίσματος
answer,απάντηση
answer back,αντιμιλώ
answer in the affirmative,καταφάσκω
ant,μυρμήγκι
antacid,αντιοξύ
antagonism,ανταγωνισμός
antagonist,ανταγωνιστής
antagonistic,ανταγωνιστικός
Antarctic,Ανταρκτική
ante,προ-
antebellum,προπολεμικός
antecedent,προηγούμενος
antedate,προχρονολογούμαι
antelope,αντιλόπη
antenna,κεραία
anterior,πρόσθιος
anterior chamber,πρόσθιος θάλαμος
anteroom,προθάλαμος
anthem,ύμνος
anther,ανθήρας
anthology,ανθολογία
anthracite,ανθρακίτης
anthropocentric,ανθρωποκεντρικός
anthropoid,ανθρωποειδής
anthropology,ανθρωπολογία
anthropomorphic,ανθρωπομορφικός
anthropomorphism,ανθρωπομορφισμός
anti,αντί
anti-aircraft fire,αντιαεροπορικό πυροβολικό
antibiotic,αντιβιοτικό
antibody,αντίσωμα
anticipate,προλαμβάνω
anticipation,προσδοκία
anticipatory,προληπτικός
anti-climax,αντικλίμακα
anti-clockwise,αριστερόστροφος
anticonvulsant,σπασμολυτικό
antics,καμώματα
antidote,αντίδοτο
anti-establishment,αντικαθεστωτικός
antigen,αντιγόνο
anti-inflammatory,αντιφλεγμονώδης
antilope,αντιλόπη
antimony,αντιμόνιο
antipasto,ορεκτικό
antipathy,αντιπάθεια
antiperspirant,αντιιδρωτικός
